Date,Close
2017-01-01,101.76405234596767
2017-01-02,102.16420955433489
2017-01-03,103.14294753844062
2017-01-04,105.38384073764209
2017-01-05,107.25139872779205
2017-01-06,106.27412084791564
2017-01-07,107.22420926544123
2017-01-08,107.07285205714354
2017-01-09,106.96963320534998
2017-01-10,107.38023170728835
2017-01-11,107.52427527844922
2017-01-12,108.9785487854122
2017-01-13,109.73958651055919
2017-01-14,109.86126152705202
2017-01-15,110.30512475979745
2017-01-16,110.63879908717172
2017-01-17,112.13287816032931
2017-01-18,111.92771989656352
2017-01-19,112.24078759821441
2017-01-20,111.3866918589127
2017-01-21,108.83370204307862
2017-01-22,109.48732063851898
2017-01-23,110.35175683737847
2017-01-24,109.60959181697204
2017-01-25,111.87934644095964
2017-01-26,110.42498076636087
2017-01-27,110.47073928366233
2017-01-28,110.2835554336365
2017-01-29,111.81633464799495
2017-01-30,113.28569341789523
2017-01-31,113.44064084359215
2017-02-01,113.81880336319432
2017-02-02,112.93101761556422
2017-02-03,110.95022114734029
2017-02-04,110.60230899801414
2017-02-05,110.75865796711811
2017-02-06,111.98894864784583
2017-02-07,113.19132849663025
2017-02-08,112.8040016792223
2017-02-09,112.50169892864696
2017-02-10,111.45314596357986
2017-02-11,110.03312802640089
2017-02-12,108.32685783577588
2017-02-13,110.27763323100767
2017-02-14,109.76798104925601
2017-02-15,109.32990674764483
2017-02-16,108.0771113875949
2017-02-17,108.85460174342681
2017-02-18,107.24070389586886
2017-02-19,107.0279636156549
2017-02-20,106.13249705446121
2017-02-21,106.51939955232048
2017-02-22,106.0085944147516
2017-02-23,104.8279622306292
2017-02-24,104.79978000229053
2017-02-25,105.22811187282096
2017-02-26,105.29462909520413
2017-02-27,105.59710099294391
2017-02-28,104.96277889926294
2017-03-01,104.6000377332758
2017-03-02,103.92757728549985
2017-03-03,103.5680241239593
2017-03-04,102.75487784191486
2017-03-05,101.02859523958318
2017-03-06,101.20602138183693
2017-03-07,100.80424044562866
2017-03-08,99.17404209866262
2017-03-09,99.6368243541884
2017-03-10,98.72952598980515
2017-03-11,98.7814713856013
2017-03-12,99.51056194777884
2017-03-13,99.63954485853624
2017-03-14,100.77894554307954
2017-03-15,99.5441197227259
2017-03-16,99.94646136390344
2017-03-17,99.26165127296312
2017-03-18,98.39085412378125
2017-03-19,97.81200445901683
2017-03-20,97.50045192688945
2017-03-21,97.5566172691192
2017-03-22,96.39146742833584
2017-03-23,97.29229391529003
2017-03-24,97.7579563550205
2017-03-25,96.22171266874327
2017-03-26,97.70996486253887
2017-03-27,99.60585403856945
2017-03-28,100.7846336097291
2017-03-29,100.60470877391676
2017-03-30,99.5339561524062
2017-03-31,100.58840787933735
2017-04-01,100.18523093236416
2017-04-02,101.4076760027466
2017-04-03,101.61595098082346
2017-04-04,102.59259001730717
2017-04-05,102.94895641448157
2017-04-06,103.65552958267352
2017-04-07,103.66602960339434
2017-04-08,105.45190009730017
2017-04-09,105.57881219000379
2017-04-10,105.98080155344849
2017-04-11,107.86395225050475
2017-04-12,106.5161931893623
2017-04-13,105.24570819087657
2017-04-14,106.21510489903457
